| distrType         | samp1 | samp2 |  es | variance | mean(Method1) | mean(Method2) | pVal(Method1, Method2) | typeI | pVal(Method1, Method2)Uncorrected |   sig | sigUncorrected |
| normalGamma       |    10 |    10 | 0,2 |        1 |         0,027 |         0,050 |   5,66254207164353e-08 | FALSE |              1,96616044154289e-10 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,2 |        1 |         0,058 |         0,089 |   2,70959669403774e-12 | FALSE |               9,4083218542977e-15 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,2 |        1 |         0,047 |         0,063 |   3,04726210677757e-05 | FALSE |              1,05807712040888e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,2 |        1 |         0,048 |         0,067 |   2,35714077153885e-06 | FALSE |              8,18451656784323e-09 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 | 0,2 |        1 |         0,042 |         0,057 |   0,000386685190546038 | FALSE |              1,34265691161819e-06 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,2 |        1 |         0,061 |         0,082 |   1,83467096925011e-07 | FALSE |               6,3703853098962e-10 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,2 |        1 |         0,065 |         0,083 |   1,56472919256275e-06 | FALSE |              5,43308747417623e-09 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,2 |        1 |         0,060 |         0,084 |   1,43524200358039e-08 | FALSE |              4,98347917909857e-11 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,2 |        1 |         0,031 |         0,049 |   3,93057178979976e-06 | FALSE |              1,36478187145825e-08 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,2 |        1 |         0,053 |         0,076 |   2,38833767953244e-08 | FALSE |              8,29283916504319e-11 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,2 |        1 |         0,045 |         0,068 |   9,35277018721257e-09 | FALSE |               3,2474896483377e-11 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,2 |        1 |         0,050 |         0,075 |   1,21505371891366e-09 | FALSE |              4,21893652400578e-12 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,2 |        1 |         0,040 |         0,057 |   2,48720229290608e-05 | FALSE |              8,63611907259057e-08 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,2 |        1 |         0,064 |         0,078 |    0,00195705971984451 | FALSE |              6,79534624946012e-06 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,2 |        1 |         0,068 |         0,087 |   1,63603902690765e-05 | FALSE |              5,68069106565156e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,2 |        1 |         0,062 |         0,077 |   0,000314681620883197 | FALSE |              1,09264451695554e-06 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,2 |        1 |         0,039 |         0,061 |   1,40252246063926e-06 | FALSE |              4,86986965499745e-09 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,2 |        1 |         0,078 |         0,093 |   0,000386685190546038 | FALSE |              1,34265691161819e-06 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,2 |        1 |         0,067 |         0,083 |   3,04726210677757e-05 | FALSE |              1,05807712040888e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,2 |        1 |         0,080 |         0,089 |      0,497649822960686 | FALSE |               0,00172795077416905 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,2 |        1 |         0,041 |         0,056 |   0,000386685190546038 | FALSE |              1,34265691161819e-06 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,2 |        1 |         0,058 |         0,077 |   2,35714077153885e-06 | FALSE |              8,18451656784323e-09 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,2 |        1 |         0,049 |         0,076 |    1,6345193606505e-09 | FALSE |              5,67541444670312e-12 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 | 0,2 |        1 |         0,071 |         0,099 |    3,4404121845171e-11 | FALSE |              1,19458756406844e-13 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,2 |        1 |         0,043 |         0,079 |   3,37344358111047e-11 | FALSE |              1,17133457677447e-13 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,2 |        1 |         0,072 |         0,084 |     0,0223840534905306 | FALSE |              7,77224079532312e-05 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,2 |        1 |         0,083 |         0,097 |    0,00353163950159853 | FALSE |              1,22626371583282e-05 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,2 |        1 |         0,088 |         0,107 |   4,35343626914881e-05 | FALSE |              1,51160981567667e-07 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,2 |        1 |         0,048 |         0,082 |   9,48329905900519e-12 | FALSE |              3,29281217326569e-14 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,2 |        1 |         0,108 |         0,116 |                      1 | FALSE |                0,0213585404338347 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,2 |        1 |         0,094 |         0,110 |   0,000305598102718259 | FALSE |              1,06110452332729e-06 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,2 |        1 |         0,103 |         0,111 |      0,395791452239529 | FALSE |                0,0013742758758317 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,2 |        1 |         0,064 |         0,089 |   8,10300942655595e-07 | FALSE |              2,81354493977637e-09 |  TRUE |          FALSE |
| normal            |    10 |    10 | 0,5 |        1 |         0,123 |         0,178 |   7,70538735833613e-23 | FALSE |              2,67548172164449e-25 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 | 0,5 |        1 |         0,125 |         0,193 |   4,16977191991825e-28 | FALSE |              1,44783747219384e-30 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 | 0,5 |        1 |         0,111 |         0,161 |   1,98646717776467e-20 | FALSE |              6,89745547834956e-23 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 | 0,5 |        1 |         0,083 |         0,136 |   3,50096054120592e-22 | FALSE |              1,21561129902983e-24 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,5 |        1 |         0,159 |         0,211 |   6,30594182783885e-20 | FALSE |              2,18956313466627e-22 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,5 |        1 |         0,152 |         0,202 |    1,9104305422974e-20 | FALSE |              6,63343938297707e-23 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,5 |        1 |         0,152 |         0,202 |   1,19887212642809e-20 | FALSE |              4,16275043898642e-23 |  TRUE |          FALSE |
